iteration,best_val_acc
0,0.8729507923126221
1,0.8729507923126221
2,0.875
3,0.875
4,0.875
5,0.875
6,0.875
7,0.875
8,0.875
9,0.875
10,0.875
11,0.875
12,0.875
13,0.875
14,0.875
15,0.8893442749977112
16,0.8893442749977112
17,0.8893442749977112
18,0.8893442749977112
19,0.8934426307678223
20,0.8934426307678223
21,0.8934426307678223
